"site","chamber","collect_date","pwsw","inout","location","temp.degC ","cond.mscm ","salinity","ph","cust_sample_id","ALKA.mgL ","CL.mglCaCO3","DOC.mgL","LPH","NH4.mgL","NOX","SO4.mgl","TDN.mgl","trt","mean.salinity","srp.um.l","tdp.um.l","srp.ppb","tdp.ppb","deepsulfide.mm","shallowsulfide.mm","datesulfide"
"BW",1,2014-10-22,"PW","in","BW-P-1",29.05,13.05,7.463,6.603,"P75181-6",479,3823,196,7.57,1.759,0.005,118,6.13,"control",7.46,"1.625","3.406","50.33","105.48",NA,NA,NA
"BW",3,2014-10-22,"PW","in","BW-P-3",28.077,15.617,9.073,6.683,"P75181-8",649,4910,177,7.67,3.457,0.005,256,7.52,"control",9.07,"0.354","5.846","10.96","181.05",NA,NA,NA
"BW",5,2014-10-22,"PW","in","BW-P-5",28.22,14.23,8.21,6.8,"P75181-10",612,4709,169,7.76,4.093,0.005,171,8.54,"control",8.21,"1.09","5.14","33.76","159.19",NA,NA,NA
"BW",7,2014-10-22,"PW","in","BW-P-7",26.607,12.487,7.137,6.763,"P75181-12",545,3792,153,7.77,3.084,0.007,144,7.05,"control",7.14,"0.099","3.458","3.07","107.09",NA,NA,NA
"BW",8,2014-10-22,"PW","in","BW-P-8",27.267,15.027,8.717,6.763,"P75181-13",555,4621,163,7.44,4.356,0.005,225,8.42,"control",8.72,"4.423","8.621","136.98","266.99",NA,NA,NA
"BW",9,2014-10-22,"PW","in","BW-P-9",27.303,13.283,7.623,6.767,"P75181-14",468,4127,145,7.33,2.31,0.005,227,6.17,"control",7.62,"0","4.21","0","130.38",NA,NA,NA
"BW",11,2014-10-22,"PW","in","BW-P-11",27.747,20.053,11.913,6.65,"P75181-16",307,6024,116,7.21,1.399,0.009,510,4.2,"treatment",11.91,"0.639","1.718","19.79","53.21",NA,NA,NA
"BW",12,2014-10-22,"PW","in","BW-P-12",26.497,25.067,15.223,6.587,"P75181-17",396,8287,118,7.17,2.641,0.005,793,5.53,"treatment",15.22,"2.506","4.47","77.61","138.44",NA,NA,NA
"BW",13,2014-10-22,"PW","in","BW-P-13",25.393,17.807,10.517,6.65,"P75181-18",359,6550,123,7.21,1.593,0.005,504,4.56,"treatment",10.52,"1.311","3.325","40.6","102.98",NA,NA,NA
"BW",14,2014-10-22,"PW","in","BW-P-14",26.303,20.397,12.167,6.643,"P75181-19",453,6829,120,7.24,2.704,0.005,551,5.66,"treatment",12.17,"2.15","3.287","66.59","101.8",NA,NA,NA
"BW",15,2014-10-22,"PW","in","BW-P-15",24.997,16.14,9.45,6.647,"P75181-20",243,4898,108,7.19,0.939,0.006,382,3.5,"treatment",9.45,"0.181","1.152","5.61","35.68",NA,NA,NA
"BW",16,2014-10-22,"PW","in","BW-P-16",25.23,21.65,12.99,6.727,"P75181-21",426,6910,129,7.26,2.662,0.005,586,5.76,"treatment",12.99,"0.669","2.848","20.72","88.2",NA,NA,NA
"BW",1,2014-11-20,"PW","in","BW-P-1",25.707,12.563,7.193,6.733,"P75910-21",529,3767,153,7.71,1.876,NA,68,5.97,"control",7.19,"1.522","3.741","47.14","115.86",NA,NA,NA
"BW",2,2014-11-20,"PW","in","BW-P-2",23.52,11.39,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"BW",3,2014-11-20,"PW","in","BW-P-3",23.653,14.953,8.94,6.803,"P75910-8",677,4406,146,7.68,3.603,NA,205,7.73,"control",8.94,"3.285","5.162","101.74","159.87",NA,NA,NA
"BW",4,2014-11-20,"PW","in","BW-P-4",24.33,15.3,8.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"BW",5,2014-11-20,"PW","in","BW-P-5",23.6,13.36,7.707,6.793,"P75910-6",590,4132,152,7.78,4.2,NA,138,8.57,"control",7.71,"2.978","3.711","92.23","114.93",NA,NA,NA
"BW",6,2014-11-20,"PW","in","BW-P-6",24.55,12.75,7.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"BW",7,2014-11-20,"PW","in","BW-P-7",22.767,12.573,7.223,6.833,"P75910-10",524,3782,129,7.69,3.333,NA,144,6.92,"control",7.22,"2.889","4.604","89.47","142.59",NA,NA,NA
"BW",8,2014-11-20,"PW","in","BW-P-8",24.627,14.617,8.483,6.703,"P75910-12",600,4850,182,7.79,4.407,NA,238,8.52,"control",8.48,"5.651","7.996","175.01","247.64",NA,NA,NA
